id,title,description,price,category,target_gender,material,country_of_origin,rating,review_count,color,size_options,returnable,discount_percent,stock_quantity,sku,brand,warranty_months,in_stock
1,Red Cotton T-Shirt,Soft organic cotton t-shirt for men available in S/M/L/XL,499,clothing,Men,Cotton,India,4.2,180,Red,"S,M,L,XL",Yes,25,62,SKU-CLO-0001,Fabindia,0,Yes
2,Blue Denim Jeans,Regular fit blue jeans with 2% elastane stretch for comfort,1299,clothing,Men,Denim,Bangladesh,4.4,320,Blue,"28,30,32,34,36",Yes,25,145,SKU-CLO-0002,Zara,0,Yes
7,Silk Saree,Handwoven Banarasi silk saree with golden zari border and blouse piece,5499,clothing,Women,Silk,India,4.8,45,Golden,Free Size,No,5,76,SKU-CLO-0007,Manyavar,0,Yes
9,Running Shoes,Breathable lightweight running shoes with memory foam sole and anti-slip grip,2599,clothing,Unisex,Mesh+Foam,Vietnam,4.3,210,White,"6,7,8,9,10,11",Yes,25,384,SKU-CLO-0009,Peter England,0,Yes
21,Formal Shirt,Slim fit cotton formal shirt with wrinkle-resistant finish,1199,clothing,Men,Cotton,India,4.1,150,White,"S,M,L,XL,XXL",Yes,0,307,SKU-CLO-0021,Biba,0,Yes
22,Kurti Set,Printed cotton kurti with palazzo pants,1499,clothing,Women,Cotton,India,4.5,95,Multicolor,"XS,S,M,L,XL",Yes,0,20,SKU-CLO-0022,Manyavar,0,Yes
23,Woolen Sweater,Cable-knit woolen pullover sweater for winters,1899,clothing,Unisex,Wool,India,4.3,70,Grey,"S,M,L,XL",Yes,5,124,SKU-CLO-0023,Peter England,0,Yes
24,Track Pants,Moisture-wicking polyester track pants with drawstring waist,799,clothing,Men,Polyester,China,4.0,200,Black,"S,M,L,XL,XXL",Yes,20,18,SKU-CLO-0024,Peter England,0,Yes
25,Ethnic Kurta,Cotton men's ethnic kurta with embroidery for festive occasions,1299,clothing,Men,Cotton,India,4.6,85,Cream,"S,M,L,XL",Yes,5,371,SKU-CLO-0025,Peter England,0,Yes
26,Sports Bra,High-impact sports bra with padded cups and wide straps,999,clothing,Women,Nylon+Spandex,India,4.4,130,Black,"XS,S,M,L,XL",Yes,15,117,SKU-CLO-0026,W,0,Yes
27,Denim Jacket,Classic blue denim jacket with brass buttons,2299,clothing,Unisex,Denim,India,4.3,60,Blue,"S,M,L,XL",Yes,20,147,SKU-CLO-0027,Fabindia,0,Yes
28,Leggings,High-waist compression leggings with phone pocket,699,clothing,Women,Polyester,India,4.5,250,Black,"XS,S,M,L,XL",Yes,30,417,SKU-CLO-0028,H&M,0,Yes
29,Polo T-Shirt,Pique cotton polo shirt with ribbed collar,899,clothing,Men,Cotton,India,4.2,175,Navy Blue,"S,M,L,XL,XXL",Yes,25,221,SKU-CLO-0029,Nike,0,Yes
30,Anarkali Suit,Embroidered anarkali suit with dupatta set for occasions,3499,clothing,Women,Georgette,India,4.7,30,Maroon,"S,M,L,XL",No,10,84,SKU-CLO-0030,Zara,0,Yes
31,Cargo Shorts,6-pocket cargo shorts with adjustable waistband,999,clothing,Men,Cotton,India,4.1,120,Olive,"28,30,32,34",Yes,30,177,SKU-CLO-0031,Manyavar,0,Yes
32,Printed Maxi Dress,Floral printed maxi dress with smocked bodice,1699,clothing,Women,Rayon,India,4.4,80,Floral,"S,M,L,XL",Yes,0,199,SKU-CLO-0032,Manyavar,0,Yes
33,Thermal Inner Wear,Fleece-lined thermal top and bottom set,1199,clothing,Unisex,Fleece,India,4.3,90,Grey,"S,M,L,XL",Yes,10,438,SKU-CLO-0033,Nike,0,Yes
34,Leather Belt,Genuine leather formal belt with metal buckle,699,clothing,Men,Leather,India,4.5,200,Brown,"28,30,32,34,36,38",Yes,20,140,SKU-CLO-0034,Fabindia,0,Yes
35,Casual Sneakers,Canvas sneakers with rubber sole and lace-up closure,1299,clothing,Unisex,Canvas,India,4.2,160,White,"6,7,8,9,10",Yes,25,240,SKU-CLO-0035,Peter England,0,Yes
36,Yoga Pants,4-way stretch yoga pants with hidden waistband pocket,1099,clothing,Women,Spandex,India,4.6,140,Grey,"XS,S,M,L",Yes,0,477,SKU-CLO-0036,Biba,0,Yes
37,Hoodie Sweatshirt,Fleece hoodie with kangaroo pocket and drawstring,1599,clothing,Unisex,Fleece,Bangladesh,4.4,110,Black,"S,M,L,XL,XXL",Yes,0,287,SKU-CLO-0037,Puma,0,Yes
38,Cotton Shorts,Breathable cotton lounge shorts with elastic waist,499,clothing,Men,Cotton,India,4.1,220,Blue,"S,M,L,XL",Yes,30,326,SKU-CLO-0038,Van Heusen,0,Yes
39,Evening Gown,Satin evening gown with backless design for parties,4999,clothing,Women,Satin,India,4.7,20,Black,"XS,S,M,L",No,30,190,SKU-CLO-0039,Van Heusen,0,Yes
40,School Uniform Set,Durable cotton school uniform shirt and trousers set,799,clothing,Kids,Cotton,India,4.0,100,White+Grey,"4Y,6Y,8Y,10Y,12Y",Yes,5,365,SKU-CLO-0040,Manyavar,0,Yes
41,Formal Trouser,Slim fit formal trouser with pressed crease,1199,clothing,Men,Polyester,India,4.2,130,Black,"28,30,32,34,36",Yes,0,343,SKU-CLO-0041,Zara,0,Yes
42,Printed Scarf,Lightweight printed silk-feel scarf,499,clothing,Women,Polyester,India,4.3,180,Multicolor,Free Size,Yes,30,153,SKU-CLO-0042,Manyavar,0,Yes
43,Rain Coat,Waterproof hooded rain coat with sealed seams,1899,clothing,Unisex,PVC,China,4.1,70,Yellow,"S,M,L,XL",Yes,30,124,SKU-CLO-0043,Manyavar,0,Yes
44,Baby Onesie,Soft organic cotton baby onesie with snap buttons,399,clothing,Kids,Cotton,India,4.8,150,White,"0-3M,3-6M,6-12M",Yes,15,147,SKU-CLO-0044,W,0,Yes
45,Sleeveless Blouse,Cotton sleeveless blouse for sarees with hook closure,599,clothing,Women,Cotton,India,4.2,120,Red,"XS,S,M,L,XL",Yes,25,432,SKU-CLO-0045,Nike,0,Yes
46,Winter Jacket,Water-resistant puffer jacket with detachable hood,3999,clothing,Unisex,Nylon+Down,China,4.5,55,Black,"S,M,L,XL,XXL",Yes,5,194,SKU-CLO-0046,Nike,0,Yes
3,Wireless Mouse,Ergonomic 2.4GHz wireless mouse with USB nano receiver,899,electronics,Unisex,Plastic,China,4.3,350,Black,NA,Yes,5,348,SKU-ELE-0003,JBL,0,Yes
6,Noise Cancelling Headphones,Over-ear Bluetooth 5.0 headphones with ANC and 30hr battery life,3499,electronics,Unisex,Plastic+Leather,China,4.6,120,Black,NA,Yes,20,330,SKU-ELE-0006,Samsung,24,Yes
10,Smart Watch,"Fitness smartwatch with heart rate, SpO2, GPS and 7-day battery",4299,electronics,Unisex,Aluminium,China,4.4,200,Black,NA,Yes,25,130,SKU-ELE-0010,Samsung,12,Yes
13,Power Bank,20000mAh PD fast-charging power bank with LED indicator,1899,electronics,Unisex,Aluminium,China,4.5,280,White,NA,Yes,15,143,SKU-ELE-0013,Noise,3,Yes
18,Bluetooth Speaker,360° portable Bluetooth 5.0 speaker with deep bass and IPX5 splash resistance,1699,electronics,Unisex,Plastic,China,4.4,190,Blue,NA,Yes,25,171,SKU-ELE-0018,boAt,3,Yes
47,USB-C Hub,"7-in-1 USB-C hub with HDMI 4K, 3 USB 3.0, SD card reader",2499,electronics,Unisex,Aluminium,China,4.5,160,Silver,NA,Yes,30,21,SKU-ELE-0047,Logitech,12,Yes
48,Laptop Stand,Adjustable aluminium laptop stand with cable organizer,1299,electronics,Unisex,Aluminium,China,4.6,220,Silver,NA,Yes,10,38,SKU-ELE-0048,Sony,24,Yes
49,Mechanical Keyboard,Tenkeyless mechanical keyboard with RGB backlight and blue switches,3999,electronics,Unisex,Plastic+Metal,China,4.5,85,Black,NA,Yes,25,166,SKU-ELE-0049,Sony,12,Yes
50,Webcam HD,1080p HD webcam with built-in microphone and auto focus,2199,electronics,Unisex,Plastic,China,4.3,130,Black,NA,Yes,15,457,SKU-ELE-0050,Realme,3,Yes
51,Gaming Headset,Stereo gaming headset with noise-cancelling mic and surround sound,1999,electronics,Unisex,Plastic,China,4.4,110,Black+Red,NA,Yes,10,76,SKU-ELE-0051,Sony,24,Yes
52,Portable SSD,500GB USB 3.1 portable SSD with shock-resistant casing,3499,electronics,Unisex,Metal,South Korea,4.7,95,Silver,NA,Yes,20,139,SKU-ELE-0052,Anker,12,Yes
53,Tablet 10 inch,"10-inch Android tablet with 4GB RAM, 64GB storage and 8MP camera",12999,electronics,Unisex,Aluminium+Glass,China,4.3,75,Space Grey,NA,Yes,20,209,SKU-ELE-0053,Logitech,3,Yes
54,Smart TV 32 inch,32-inch Full HD Android smart TV with voice remote,17999,electronics,Unisex,Plastic,China,4.5,40,Black,NA,No,5,265,SKU-ELE-0054,Realme,0,Yes
55,Wi-Fi Router,Dual-band AC1200 Wi-Fi router with 4 antennas and parental controls,2799,electronics,Unisex,Plastic,China,4.4,130,White,NA,Yes,30,29,SKU-ELE-0055,Xiaomi,3,Yes
56,Action Camera,4K action camera with waterproof housing and image stabilization,6999,electronics,Unisex,Plastic,China,4.5,65,Black,NA,Yes,25,86,SKU-ELE-0056,HP,24,Yes
57,Smart Doorbell,"Video doorbell with 1080p camera, motion detection and two-way audio",4499,electronics,Unisex,Plastic,China,4.3,55,Black,NA,Yes,0,202,SKU-ELE-0057,HP,24,Yes
58,Wireless Charger,15W fast wireless charging pad compatible with Qi devices,999,electronics,Unisex,Plastic,China,4.4,300,Black,NA,Yes,15,275,SKU-ELE-0058,JBL,24,Yes
59,Dash Cam,Front and rear dual-channel dash cam with night vision and loop recording,3299,electronics,Unisex,Plastic,China,4.3,80,Black,NA,Yes,30,487,SKU-ELE-0059,boAt,0,Yes
60,Digital Alarm Clock,LED digital alarm clock with USB charging port and temperature display,699,electronics,Unisex,Plastic,China,4.2,210,Black,NA,Yes,25,458,SKU-ELE-0060,Noise,6,Yes
61,Noise Isolating Earphones,In-ear wired earphones with 10mm driver and three-button remote,599,electronics,Unisex,Plastic,China,4.1,400,Black,NA,Yes,30,333,SKU-ELE-0061,Logitech,0,Yes
62,Smart Plug,Wi-Fi smart plug with energy monitoring and voice control support,799,electronics,Unisex,Plastic,China,4.4,250,White,NA,Yes,10,227,SKU-ELE-0062,Samsung,12,Yes
63,Pen Drive 64GB,USB 3.0 64GB pen drive with retractable design,599,electronics,Unisex,Metal,Japan,4.5,450,Silver,NA,Yes,0,493,SKU-ELE-0063,JBL,24,Yes
64,DSLR Camera Bag,Waterproof DSLR camera bag with padded compartments,1799,electronics,Unisex,Nylon,China,4.4,100,Black,NA,Yes,30,96,SKU-ELE-0064,Noise,0,Yes
65,Bluetooth Tracker,Bluetooth item tracker compatible with iOS and Android,999,electronics,Unisex,Plastic,China,4.3,170,White,NA,Yes,30,325,SKU-ELE-0065,JBL,24,Yes
66,E-Reader,6-inch e-ink display e-reader with adjustable front light and 8GB storage,7999,electronics,Unisex,Plastic,USA,4.7,60,Black,NA,Yes,20,106,SKU-ELE-0066,Samsung,6,Yes
67,Fitness Band,Slim fitness band with heart rate monitor and 10-day battery,1499,electronics,Unisex,Silicone,China,4.3,190,Black,NA,Yes,30,87,SKU-ELE-0067,Noise,24,Yes
68,Smart Scale,"Bluetooth body composition scale tracking BMI, fat and muscle",1299,electronics,Unisex,Glass+Plastic,China,4.4,140,White,NA,Yes,0,311,SKU-ELE-0068,Logitech,12,Yes
69,Projector Mini,Mini LED projector 1080p support with HDMI and USB input,8999,electronics,Unisex,Plastic,China,4.3,45,White,NA,Yes,0,62,SKU-ELE-0069,Logitech,6,Yes
70,Earbuds TWS,"True wireless earbuds with ANC, 6hr playtime + 24hr case",2999,electronics,Unisex,Plastic,China,4.6,160,White,NA,Yes,5,34,SKU-ELE-0070,Sony,24,Yes
71,Graphic Tablet,Drawing tablet with 8192 pressure sensitivity levels and 8 express keys,5499,electronics,Unisex,Plastic,China,4.5,55,Black,NA,Yes,0,48,SKU-ELE-0071,Realme,0,Yes
4,Smart LED Bulb,WiFi-enabled 9W multicolor LED bulb compatible with Alexa and Google Home,699,home_appliance,Unisex,Plastic,China,4.5,500,White,NA,Yes,30,277,SKU-HOM-0004,Bajaj,3,Yes
8,Espresso Coffee Maker,Automatic 15-bar espresso and cappuccino maker with stainless steel body,7999,home_appliance,Unisex,Steel,Italy,4.6,50,Silver,NA,No,25,248,SKU-HOM-0008,Whirlpool,3,Yes
16,Air Purifier,HEPA H13 filter air purifier for rooms up to 400 sq ft with AQI display,8999,home_appliance,Unisex,Plastic,China,4.7,40,White,NA,No,10,275,SKU-HOM-0016,IFB,12,Yes
72,Room Heater,1500W ceramic room heater with thermostat and overheat protection,2999,home_appliance,Unisex,Plastic,China,4.4,85,Grey,NA,No,5,480,SKU-HOM-0072,Whirlpool,3,Yes
73,Ceiling Fan,3-blade BLDC ceiling fan with remote control and low power consumption,3499,home_appliance,Unisex,Aluminium,India,4.5,60,White,NA,No,25,164,SKU-HOM-0073,Usha,6,Yes
74,Water Purifier RO,7-stage RO+UV+UF water purifier with 10L storage tank,8499,home_appliance,Unisex,Plastic,India,4.6,35,White,NA,No,15,465,SKU-HOM-0074,Whirlpool,12,Yes
75,Washing Machine Mini,5kg semi-automatic twin-tub washing machine,9999,home_appliance,Unisex,Plastic,India,4.3,30,Grey,NA,No,0,131,SKU-HOM-0075,Crompton,0,Yes
76,Exhaust Fan,9-inch 35W kitchen exhaust fan with rust-proof aluminium blades,699,home_appliance,Unisex,Aluminium,India,4.2,200,White,NA,No,10,15,SKU-HOM-0076,IFB,24,Yes
77,Induction Cooktop,2000W induction cooktop with 7 preset modes and auto shut-off,2299,home_appliance,Unisex,Glass+Plastic,India,4.5,110,Black,NA,No,5,306,SKU-HOM-0077,Crompton,0,Yes
78,Refrigerator 200L,200L single door refrigerator with 5-star rating and stabilizer free operation,16999,home_appliance,Unisex,Steel,India,4.5,20,Grey,NA,No,0,367,SKU-HOM-0078,Havells,3,Yes
79,Microwave 20L,20L solo microwave oven with 5 power levels and auto defrost,6499,home_appliance,Unisex,Steel,India,4.4,45,Black,NA,No,0,468,SKU-HOM-0079,Havells,6,Yes
80,Wet Grinder,2L table-top wet grinder with 200W motor and stone rollers,4299,home_appliance,Unisex,Plastic+Stone,India,4.6,30,White,NA,No,0,268,SKU-HOM-0080,Crompton,6,Yes
81,Dish Washer Compact,6-place countertop dishwasher with 5 wash programs,18999,home_appliance,Unisex,Plastic,Germany,4.5,15,Silver,NA,No,25,253,SKU-HOM-0081,Crompton,24,Yes
82,Air Cooler 20L,20L personal air cooler with ice chamber and 3-speed control,4999,home_appliance,Unisex,Plastic,India,4.3,55,White,NA,No,5,375,SKU-HOM-0082,IFB,24,Yes
83,Geyser 15L,15L storage water heater with anti-corrosion tank and safety valve,5499,home_appliance,Unisex,Steel,India,4.5,40,White,NA,No,15,129,SKU-HOM-0083,Orient,12,Yes
84,Dehumidifier,20 pint portable dehumidifier with continuous drain option,9499,home_appliance,Unisex,Plastic,China,4.4,25,White,NA,No,5,53,SKU-HOM-0084,Philips,12,Yes
85,Stand Fan,400mm 5-blade pedestal fan with 3 speed settings and oscillation,2299,home_appliance,Unisex,Plastic,India,4.2,70,White,NA,No,10,221,SKU-HOM-0085,Usha,12,Yes
86,Rice Cooker,1.8L electric rice cooker with steam basket and keep-warm function,1899,home_appliance,Unisex,Aluminium,China,4.4,120,White,NA,No,30,378,SKU-HOM-0086,Havells,0,Yes
87,Vacuum Cleaner,1400W bagged vacuum cleaner with HEPA filter and 3m cable,3999,home_appliance,Unisex,Plastic,Germany,4.5,50,Blue,NA,No,0,211,SKU-HOM-0087,LG,0,Yes
88,OTG Oven 30L,30L oven toaster griller with convection mode and rotisserie,4499,home_appliance,Unisex,Steel,India,4.5,55,Silver,NA,No,5,103,SKU-HOM-0088,Crompton,24,Yes
5,Leather Wallet,Slim genuine leather bi-fold wallet with RFID blocking and 8 card slots,999,accessories,Men,Leather,India,4.5,320,Brown,NA,Yes,15,76,SKU-ACC-0005,Peter Jones,0,Yes
15,Travel Backpack,35L water-resistant travel backpack with USB port and laptop sleeve,2199,accessories,Unisex,Nylon,China,4.6,150,Black,NA,Yes,5,147,SKU-ACC-0015,DailyObjects,0,Yes
89,Sunglasses Polarised,UV400 polarised sunglasses with TR90 frame,1499,accessories,Unisex,TR90,China,4.4,200,Black,NA,Yes,5,452,SKU-ACC-0089,Hidesign,0,Yes
90,Watch Strap Leather,20mm genuine leather watch strap with quick-release pin,699,accessories,Unisex,Leather,India,4.5,300,Brown,NA,Yes,15,418,SKU-ACC-0090,Wildcraft,0,Yes
91,Laptop Sleeve 15 inch,Neoprene 15.6-inch laptop sleeve with accessory pocket,799,accessories,Unisex,Neoprene,China,4.4,220,Grey,NA,Yes,0,30,SKU-ACC-0091,Wildcraft,0,Yes
92,Handbag Tote,Large vegan leather tote bag with inner zip pocket,2499,accessories,Women,Vegan Leather,India,4.5,80,Tan,NA,Yes,30,12,SKU-ACC-0092,Hidesign,0,Yes
93,Hair Clip Set,Pack of 12 assorted hair clips in acetate and metal,399,accessories,Women,Acetate+Metal,China,4.3,400,Multicolor,NA,Yes,30,439,SKU-ACC-0093,Safari,0,Yes
94,Coin Purse,Compact zip-around genuine leather coin purse,499,accessories,Unisex,Leather,India,4.4,250,Red,NA,Yes,5,213,SKU-ACC-0094,DailyObjects,0,Yes
95,Gym Bag,40L duffel gym bag with wet compartment and shoe pocket,1599,accessories,Unisex,Polyester,China,4.5,130,Black,NA,Yes,15,114,SKU-ACC-0095,Peter Jones,0,Yes
96,Umbrella Windproof,Double canopy windproof travel umbrella with auto open close,899,accessories,Unisex,Polyester,China,4.3,180,Black,NA,Yes,0,89,SKU-ACC-0096,Peter Jones,0,Yes
97,Phone Wallet Case,Leather flip phone wallet case with card slots for iPhone 15,1299,accessories,Unisex,Leather,India,4.4,120,Brown,NA,Yes,0,204,SKU-ACC-0097,VIP,0,Yes
98,Passport Holder,RFID-blocking leather passport holder with card slots,699,accessories,Unisex,Leather,India,4.6,200,Black,NA,Yes,30,406,SKU-ACC-0098,DailyObjects,0,Yes
99,Sling Bag,Compact canvas sling crossbody bag with anti-theft zipper,1199,accessories,Unisex,Canvas,India,4.4,110,Khaki,NA,Yes,10,221,SKU-ACC-0099,Wildcraft,0,Yes
100,Tie Silk,100% silk woven necktie with gift box,1499,accessories,Men,Silk,India,4.5,90,Navy Blue,NA,No,25,372,SKU-ACC-0100,DailyObjects,0,Yes
101,Key Chain Set,Stainless steel premium keychain set of 3,399,accessories,Unisex,Steel,China,4.2,350,Silver,NA,Yes,5,102,SKU-ACC-0101,VIP,0,Yes
11,Wooden Study Table,Compact foldable wooden study table with adjustable height and storage shelf,2599,furniture,Unisex,MDF+Steel,India,4.4,60,Walnut,NA,No,5,500,SKU-FUR-0011,Nilkamal,24,Yes
19,Office Chair,"Ergonomic mesh office chair with lumbar support, adjustable armrests and height",6999,furniture,Unisex,Mesh+Metal,China,4.5,35,Black,NA,No,25,282,SKU-FUR-0019,Nilkamal,6,Yes
102,3-Seater Sofa,Fabric upholstered 3-seater sofa with solid wood legs,18999,furniture,Unisex,Fabric+Wood,India,4.5,15,Grey,NA,No,0,30,SKU-FUR-0102,Stanley,12,Yes
